
# ;[];[];[];[];[];[];[];[pictet clean energy transition r][pictet clean energy r];[];[];[];[];[];[];[];[];[];
# ;pareto global b;pareto nordic corporate bond c;pareto räntefond a;pareto sverige a;pictet asian equities ex japan r;pictet biotech r;pictet china equities r;pictet clean energy transition r;pictet digital r;pictet emerging markets r;pictet eur bonds r;pictet global bonds r;pictet global emerging debt r;pictet global megatrend selection r;pictet health r;pictet indian equities r;pictet japanese equity opportunities r;
2023-05-17;;;;;-0,211;-0,252;-0,042;-0,233;-0,306;-0,159;-0,007;0,030;-0,087;-0,119;0,032;-0,067;-0,163;
2023-05-19;-0,102;-0,071;;;-0,203;-0,239;-0,043;-0,215;-0,288;-0,152;-0,007;0,032;-0,084;-0,105;0,041;-0,060;-0,154;
2023-05-22;-0,101;-0,071;;;-0,200;-0,235;-0,038;-0,216;-0,284;-0,149;-0,008;0,030;-0,085;-0,107;0,038;-0,061;-0,152;
2023-05-23;-0,105;-0,071;;;-0,202;-0,229;-0,043;-0,216;-0,285;-0,150;;;;-0,106;0,037;-0,058;-0,159;
2023-05-24;-0,106;-0,071;;;-0,204;-0,236;-0,049;-0,224;-0,292;-0,152;-0,004;0,034;-0,080;-0,113;0,030;-0,056;-0,158;
2023-05-25;;-0,071;;;;;;;;;-0,003;0,035;-0,078;;;;;
2023-05-26;-0,101;-0,071;;;;-0,241;;-0,203;-0,279;;-0,003;0,035;-0,077;-0,108;0,034;-0,044;-0,151;
2023-05-29;;;;;;;;;;;;;;;;;;
2023-05-30;-0,096;-0,070;;;-0,190;-0,236;-0,049;-0,192;-0,271;-0,140;0,003;0,042;-0,072;-0,097;0,040;-0,042;-0,153;
2023-05-31;-0,100;-0,070;;;-0,193;-0,237;-0,054;-0,193;-0,270;-0,143;0,008;0,046;-0,069;-0,099;0,037;-0,037;-0,153;
2023-06-01;-0,094;-0,070;;;-0,194;-0,238;-0,052;-0,195;-0,269;-0,142;0,006;0,047;-0,068;-0,100;0,038;-0,039;-0,149;
2023-06-02;-0,089;-0,070;;;-0,186;-0,238;-0,038;-0,195;-0,268;-0,136;0,004;0,039;-0,072;-0,097;0,041;-0,040;-0,140;
2023-06-05;-0,087;-0,070;;;-0,186;-0,228;-0,039;-0,191;-0,264;-0,136;0,003;0,041;-0,068;-0,093;0,046;-0,039;-0,137;
2023-06-07;-0,087;-0,070;;;-0,179;-0,221;-0,029;-0,183;-0,257;-0,126;0,002;0,041;-0,065;-0,087;0,046;-0,030;-0,135;
2023-06-08;-0,089;-0,069;;;-0,181;-0,220;-0,029;-0,185;-0,269;-0,128;0,003;0,043;-0,065;-0,091;0,043;-0,035;-0,144;
2023-06-09;-0,087;-0,069;;;-0,178;-0,221;-0,030;-0,181;-0,262;-0,126;0,004;0,040;-0,067;-0,090;0,040;-0,038;-0,134;
2023-06-12;-0,085;-0,069;;;-0,178;-0,216;-0,030;-0,182;-0,262;-0,126;0,004;0,040;-0,066;-0,090;0,040;-0,037;-0,133;
2023-06-13;-0,087;-0,069;;;-0,175;-0,218;-0,028;-0,178;-0,259;-0,125;0,001;0,036;-0,069;-0,088;0,042;-0,037;-0,128;
2023-06-14;-0,088;-0,069;;;-0,179;-0,217;-0,030;-0,177;-0,261;-0,127;-0,002;0,035;-0,071;-0,088;0,039;-0,037;-0,130;
2023-06-15;-0,085;-0,069;;;-0,172;-0,220;-0,018;-0,177;-0,255;-0,120;0,001;0,039;-0,068;-0,086;0,044;-0,035;-0,133;
2023-06-16;-0,083;-0,069;;;-0,176;-0,223;-0,021;-0,177;-0,255;-0,123;0,001;0,033;-0,073;-0,086;0,043;-0,037;-0,134;
2023-06-19;;-0,068;;;-0,176;;-0,022;;;-0,125;0,002;;;;;-0,037;-0,138;
2023-06-20;-0,080;-0,069;;;-0,179;-0,226;-0,030;-0,177;-0,256;-0,126;0,007;0,038;-0,069;-0,088;0,041;-0,033;-0,139;
2023-06-21;-0,087;-0,069;;;-0,180;-0,224;-0,034;-0,177;-0,255;-0,126;0,009;0,041;-0,064;-0,087;0,044;-0,030;-0,133;
2023-06-22;-0,086;-0,069;;;;-0,227;;;-0,263;;0,004;0,034;-0,069;-0,093;0,040;-0,035;-0,137;
2023-06-26;;;;;-0,188;-0,239;-0,046;-0,184;-0,257;-0,134;;;;-0,095;0,036;-0,035;-0,149;
2023-06-27;-0,086;-0,069;;;;;;;;;0,004;0,034;-0,067;;;-0,034;;
2023-06-28;-0,085;-0,068;;;-0,188;-0,243;-0,042;-0,181;-0,257;-0,136;0,008;0,036;-0,065;-0,091;0,038;;-0,144;
2023-06-29;-0,081;-0,068;;;-0,184;-0,238;-0,041;-0,177;-0,254;-0,131;0,008;0,036;-0,063;-0,087;0,042;;-0,140;
2023-06-30;-0,078;-0,068;;;-0,181;-0,236;-0,037;-0,170;-0,248;-0,127;0,007;0,039;-0,059;-0,080;0,050;-0,019;-0,139;
2023-07-03;-0,077;-0,068;;;-0,176;-0,240;-0,030;-0,168;-0,249;-0,121;0,005;0,037;-0,059;-0,081;0,046;-0,022;-0,136;
2023-07-04;;;;;-0,176;;-0,030;;;-0,120;;;;;;-0,023;-0,138;
2023-07-05;-0,078;-0,068;;;;;;;;;0,006;0,035;-0,059;;;;;
2023-07-06;-0,080;-0,068;;;-0,185;-0,239;-0,043;-0,177;-0,251;-0,128;0,004;0,036;-0,060;-0,086;0,044;-0,021;-0,141;
2023-07-07;-0,085;-0,068;;;-0,184;-0,237;-0,040;-0,174;-0,247;-0,127;0,005;0,038;-0,063;-0,084;0,044;-0,024;-0,140;
2023-07-10;-0,084;-0,068;;;-0,188;-0,240;-0,041;-0,176;-0,254;-0,131;0,003;0,034;-0,067;-0,086;0,041;-0,027;-0,144;
2023-07-11;-0,086;-0,068;;;-0,187;-0,244;-0,041;-0,177;-0,255;-0,132;0,000;0,031;-0,068;-0,087;0,039;-0,027;-0,144;
2023-07-12;-0,094;-0,068;;;-0,184;-0,243;-0,038;-0,172;-0,249;-0,127;0,002;0,034;-0,067;-0,084;0,038;-0,029;-0,144;
2023-07-13;-0,098;-0,067;;;-0,188;-0,252;-0,040;-0,176;-0,253;-0,134;-0,003;0,026;-0,075;-0,091;0,031;-0,037;-0,145;
2023-07-14;-0,095;-0,067;;;-0,191;-0,261;-0,046;-0,181;-0,256;-0,137;-0,007;0,019;-0,080;-0,097;0,026;-0,040;-0,155;
2023-07-17;-0,095;-0,067;;;-0,193;-0,248;-0,049;-0,183;-0,258;-0,139;-0,006;0,018;-0,081;-0,097;0,023;-0,039;-0,157;
2023-07-18;-0,093;-0,067;;;-0,198;-0,253;-0,056;-0,181;-0,259;-0,142;-0,003;0,018;-0,080;-0,098;0,023;-0,041;-0,153;
2023-07-19;-0,090;-0,067;;;-0,195;-0,250;-0,053;-0,178;-0,249;-0,139;-0,003;0,020;-0,078;-0,092;0,030;-0,037;-0,149;
2023-07-20;-0,091;-0,066;;;-0,195;-0,251;-0,055;-0,185;-0,253;-0,139;-0,005;0,018;-0,079;-0,095;0,031;-0,034;-0,154;
2023-07-21;-0,088;-0,066;;;-0,193;-0,247;-0,051;-0,184;-0,255;-0,137;-0,002;0,023;-0,074;-0,092;0,036;-0,034;-0,151;
2023-07-24;-0,088;-0,066;;;-0,193;-0,249;-0,054;-0,184;-0,258;-0,137;-0,001;0,025;-0,072;-0,091;0,040;-0,030;-0,153;
2023-07-25;-0,088;-0,066;;;-0,186;-0,257;-0,036;-0,184;-0,254;-0,131;-0,005;0,020;-0,075;-0,092;0,037;-0,032;-0,153;
2023-07-26;-0,088;-0,066;;;-0,185;-0,259;-0,033;-0,186;-0,253;-0,131;-0,006;0,022;-0,074;-0,093;0,033;-0,031;-0,154;
2023-07-27;-0,087;-0,066;;;-0,187;-0,262;-0,037;-0,180;-0,248;-0,131;-0,005;0,017;-0,076;-0,090;0,035;-0,032;-0,146;
2023-07-28;-0,086;-0,066;;;-0,169;-0,253;-0,012;-0,173;-0,238;-0,116;-0,001;0,028;-0,065;-0,082;0,041;-0,025;-0,136;
2023-07-31;-0,085;-0,065;;;-0,172;-0,248;-0,011;-0,174;-0,235;-0,118;-0,001;0,025;-0,065;-0,083;0,040;-0,027;-0,141;
2023-08-01;-0,083;-0,065;;;-0,173;-0,248;-0,012;-0,175;-0,237;-0,119;-0,002;0,023;-0,066;-0,084;0,040;-0,026;-0,143;
2023-08-02;;;;;-0,181;-0,251;-0,020;-0,179;-0,241;-0,126;;;;-0,086;0,040;-0,028;-0,148;
2023-08-03;-0,087;-0,065;;;;;;;;;0,001;0,027;-0,065;;;;;
2023-08-04;-0,092;-0,065;;;-0,177;-0,248;-0,011;-0,183;-0,238;-0,124;0,002;0,030;-0,063;-0,088;0,042;-0,020;-0,150;
2023-08-07;-0,088;-0,065;;;-0,182;-0,260;-0,020;-0,188;-0,243;-0,129;-0,001;0,024;-0,069;-0,093;0,038;-0,023;-0,151;
2023-08-08;-0,087;-0,065;;;-0,185;-0,257;-0,025;-0,191;-0,246;-0,134;0,003;0,027;-0,066;-0,094;0,042;-0,023;-0,154;
2023-08-09;-0,090;-0,064;;;-0,181;-0,255;-0,021;-0,188;-0,244;-0,129;0,004;0,028;-0,064;-0,091;0,045;-0,019;-0,151;
2023-08-10;-0,092;-0,064;;;-0,179;-0,251;-0,015;-0,185;-0,239;-0,127;0,003;0,027;-0,065;-0,088;0,047;-0,021;-0,148;
2023-08-11;-0,087;-0,064;;;;-0,249;-0,031;-0,193;-0,248;-0,135;0,003;0,026;-0,063;-0,092;0,044;-0,025;;
2023-08-14;-0,086;;;;-0,187;-0,250;-0,031;-0,191;-0,243;-0,136;0,005;0,029;-0,061;-0,089;0,049;-0,020;-0,149;
2023-08-15;-0,091;;;;;;;;;;;;;;;;;
2023-08-16;-0,091;-0,064;;;-0,192;-0,247;-0,039;-0,193;-0,244;-0,140;0,002;0,026;-0,066;-0,091;0,046;-0,019;-0,156;
2023-08-17;-0,093;-0,064;;;-0,187;-0,250;-0,032;-0,196;-0,244;-0,136;0,003;0,029;-0,064;-0,092;0,046;-0,017;-0,155;
2023-08-18;-0,095;-0,063;;;-0,193;-0,251;-0,043;-0,201;-0,253;-0,141;0,005;0,031;-0,062;-0,096;0,041;-0,018;-0,155;
2023-08-21;-0,094;-0,063;;;-0,193;-0,248;-0,047;-0,195;-0,244;-0,141;0,004;0,029;-0,064;-0,092;0,043;-0,014;-0,153;
2023-08-22;-0,096;-0,063;;;-0,196;-0,246;-0,049;-0,194;-0,246;-0,143;0,004;0,026;-0,066;-0,095;0,037;-0,016;-0,154;
2023-08-23;-0,093;-0,063;;;-0,188;-0,238;-0,041;-0,189;-0,238;-0,134;0,007;0,034;-0,059;-0,089;0,043;-0,009;-0,148;
2023-08-24;-0,096;-0,063;;;-0,185;-0,242;-0,038;-0,186;-0,234;-0,131;0,007;0,032;-0,061;-0,087;0,044;-0,009;-0,147;
2023-08-25;;;;;-0,187;-0,242;-0,043;-0,191;-0,239;-0,134;0,006;0,033;-0,058;-0,089;0,042;-0,009;-0,146;
2023-08-28;-0,090;-0,062;;;;;;;;;;;;;;;;
2023-08-29;-0,086;-0,062;;;-0,179;-0,238;-0,024;-0,188;-0,234;-0,127;0,007;0,034;-0,057;-0,086;0,045;-0,009;-0,143;
2023-08-30;-0,090;-0,062;;;-0,181;-0,238;-0,027;-0,182;-0,230;-0,129;0,005;0,032;-0,060;-0,082;0,048;-0,009;-0,145;
2023-08-31;-0,089;-0,062;;;-0,185;-0,238;-0,030;-0,181;-0,227;-0,133;0,008;0,032;-0,061;-0,082;0,046;-0,014;-0,140;
2023-09-01;-0,086;-0,062;;;;-0,234;;-0,179;-0,223;;0,007;0,032;-0,060;-0,080;0,047;-0,008;-0,134;
2023-09-04;;;;;-0,172;;-0,016;;;-0,122;;;;;;-0,003;-0,128;
2023-09-05;;-0,061;;;;;;;;;0,006;0,033;-0,057;;;;;
2023-09-06;-0,084;-0,061;;;-0,172;-0,230;-0,017;-0,177;-0,214;-0,122;0,005;0,033;-0,058;-0,078;0,046;0,000;-0,125;
2023-09-07;-0,086;-0,061;;;-0,181;-0,232;-0,033;-0,185;-0,222;-0,131;0,006;0,034;-0,057;-0,082;0,045;0,002;-0,128;
2023-09-08;-0,085;-0,061;;;;-0,230;;-0,183;-0,218;;0,006;0,034;-0,056;-0,081;0,044;0,005;-0,132;
2023-09-11;-0,085;-0,061;;;-0,182;-0,232;-0,032;-0,186;-0,218;-0,132;0,004;0,032;-0,058;-0,083;0,042;0,006;-0,132;
2023-09-12;-0,087;-0,061;;;-0,178;-0,228;-0,027;-0,184;-0,216;-0,128;0,004;0,033;-0,060;-0,081;0,042;0,005;-0,129;
2023-09-13;-0,086;-0,061;;;-0,180;-0,226;-0,031;-0,187;-0,219;-0,129;0,005;0,034;-0,057;-0,083;0,042;0,005;-0,129;
2023-09-14;-0,084;-0,061;;;-0,177;-0,231;-0,031;-0,186;-0,219;-0,127;0,008;0,034;-0,055;-0,082;0,044;0,006;-0,124;
2023-09-15;-0,083;-0,061;;;-0,174;-0,230;-0,032;-0,185;-0,219;-0,125;0,004;0,035;-0,054;-0,079;0,046;0,009;-0,124;
2023-09-18;-0,087;-0,060;;;-0,178;-0,234;-0,034;-0,189;-0,222;-0,129;0,004;0,035;-0,053;-0,083;0,041;0,008;;
2023-09-19;-0,090;-0,060;;;-0,182;-0,235;-0,036;-0,194;-0,228;-0,132;0,002;0,032;-0,057;-0,087;0,036;;-0,124;
2023-09-20;-0,090;-0,060;;;-0,183;-0,235;-0,037;-0,190;-0,224;-0,132;0,003;0,034;-0,055;-0,083;0,040;0,003;-0,127;
2023-09-21;-0,095;-0,060;;;-0,193;-0,247;-0,049;-0,203;-0,237;-0,142;0,000;0,030;-0,059;-0,094;0,032;-0,002;-0,139;
2023-09-22;-0,092;-0,060;;;-0,185;-0,246;-0,034;-0,200;-0,233;-0,136;0,001;0,032;-0,057;-0,093;0,032;-0,001;-0,134;
2023-09-25;-0,098;;;;-0,192;-0,255;-0,045;-0,206;-0,239;-0,141;;;;-0,099;0,027;-0,007;-0,138;
2023-09-26;;-0,060;;;;;;;;;-0,007;0,024;-0,066;;;;;
2023-09-27;-0,107;-0,060;;;-0,198;-0,252;-0,053;-0,215;-0,245;-0,149;-0,012;0,019;-0,071;-0,105;0,022;-0,008;-0,144;
2023-09-28;-0,103;-0,060;;;-0,199;-0,254;-0,057;-0,215;-0,246;-0,150;-0,016;0,019;-0,072;-0,105;0,024;-0,010;-0,148;
2023-09-29;-0,107;-0,060;;;-0,202;-0,261;-0,064;-0,213;-0,243;;-0,017;0,014;-0,079;-0,106;0,020;-0,013;-0,154;
2023-10-02;-0,102;-0,059;;;;-0,265;;-0,217;-0,244;;-0,016;0,014;-0,076;-0,110;0,017;;-0,158;
2023-10-03;-0,107;;;;-0,199;-0,270;-0,056;-0,219;-0,239;-0,151;;;;-0,108;0,020;-0,007;-0,160;
2023-10-06;;;;;;;;;;;;0,015;;;;;;
2023-10-09;;-0,060;;;;;;;;;-0,014;;-0,077;;;;;
2023-10-10;-0,100;-0,060;;;-0,196;-0,268;-0,051;-0,215;-0,232;-0,152;-0,014;;-0,076;-0,104;0,024;-0,008;-0,153;
2023-10-11;-0,100;;;;-0,195;-0,265;-0,050;-0,213;-0,233;-0,151;;;;-0,104;0,023;-0,010;-0,156;
2023-10-12;;-0,060;;;;;;;;;-0,014;0,013;-0,079;;;;;
2023-10-13;-0,107;-0,060;;;-0,196;-0,278;-0,056;-0,212;-0,233;-0,154;-0,014;0,015;-0,076;-0,107;0,021;-0,007;-0,157;
2023-10-16;-0,103;-0,060;;;-0,198;-0,275;-0,059;-0,216;-0,236;-0,157;-0,016;0,016;-0,076;-0,107;0,025;-0,007;-0,160;
2023-10-17;-0,104;-0,060;;;-0,202;-0,271;-0,063;-0,223;-0,241;-0,160;-0,020;0,010;-0,084;-0,109;0,021;-0,007;-0,162;
2023-10-18;-0,105;-0,060;;;-0,203;-0,277;-0,066;-0,226;-0,240;-0,162;-0,020;0,009;-0,083;-0,111;0,022;-0,007;-0,162;
2023-10-19;;-0,060;;;-0,204;-0,281;-0,069;-0,225;-0,235;-0,162;-0,017;0,012;-0,080;-0,110;0,022;-0,005;-0,161;
2023-10-20;-0,114;-0,060;;;-0,208;-0,284;-0,075;-0,235;-0,244;-0,166;-0,016;0,012;-0,083;-0,118;0,016;-0,008;-0,167;
2023-10-23;;-0,060;;;;-0,292;;-0,243;-0,249;;-0,014;0,015;-0,080;-0,122;0,014;-0,013;-0,171;
2023-10-24;-0,111;-0,060;;;-0,208;-0,293;-0,071;-0,239;-0,243;-0,165;-0,012;0,012;-0,079;-0,121;0,013;;-0,170;
2023-10-25;-0,114;;;;-0,203;-0,291;-0,064;-0,237;-0,243;-0,160;;;;-0,119;0,012;-0,013;-0,164;
2023-10-26;;-0,060;;;;;;;;;-0,008;0,021;-0,071;;;;;
2023-10-27;-0,114;;;;-0,203;-0,295;-0,055;-0,236;-0,251;-0,159;;;;-0,121;0,011;-0,010;-0,165;
2023-10-30;;-0,059;;;;;;;;;-0,008;0,020;-0,071;;;;;
2023-10-31;-0,116;;;;-0,209;-0,303;-0,065;-0,241;-0,248;-0,165;-0,006;0,017;-0,073;-0,121;0,012;-0,012;-0,160;
2023-11-01;-0,106;;;;;;;;;;;;;;;;;
2023-11-02;-0,100;-0,059;;;-0,200;-0,282;-0,061;-0,222;-0,232;-0,154;;;;-0,107;0,023;-0,007;-0,148;
2023-11-03;;;;;;;;;;;-0,001;0,027;-0,062;;;;;
2023-11-06;-0,105;-0,058;;;-0,195;-0,282;-0,056;-0,226;-0,234;-0,150;-0,007;0,016;-0,072;-0,111;0,017;-0,011;-0,149;
2023-11-07;-0,100;-0,058;;;-0,196;-0,282;-0,058;-0,223;-0,226;-0,151;;0,019;-0,070;-0,108;0,021;-0,007;-0,153;
2023-11-08;-0,100;-0,058;;;;-0,279;-0,056;-0,222;-0,222;;-0,005;0,021;-0,068;;;-0,006;-0,153;
2023-11-09;-0,102;-0,058;;;-0,200;-0,291;-0,062;-0,221;-0,222;-0,154;-0,006;0,017;-0,075;-0,107;0,020;-0,010;-0,155;
2023-11-10;-0,096;-0,058;;;-0,201;-0,305;-0,068;-0,225;-0,222;-0,156;-0,007;0,017;-0,072;-0,110;0,014;-0,008;-0,155;
2023-11-13;-0,097;-0,058;;;-0,200;-0,310;-0,064;-0,224;-0,219;-0,155;-0,007;0,016;-0,074;-0,110;0,016;-0,008;-0,158;
2023-11-14;-0,094;-0,057;;;-0,198;-0,288;-0,062;-0,208;-0,207;-0,150;-0,005;0,022;-0,070;-0,097;0,027;;-0,155;
2023-11-15;-0,095;;;;-0,200;-0,297;-0,062;-0,213;-0,217;-0,153;;;;-0,105;0,019;-0,015;-0,159;
2023-11-16;;-0,057;;;;;;;;;-0,010;0,013;-0,080;;;;;
2023-11-17;-0,096;-0,057;;;-0,203;-0,302;-0,073;-0,213;-0,216;-0,154;-0,008;0,014;-0,078;-0,104;0,020;-0,011;-0,153;
2023-11-20;-0,097;-0,057;;;-0,202;-0,296;-0,068;-0,215;-0,216;-0,154;-0,010;0,011;-0,081;-0,107;0,016;-0,017;-0,156;
2023-11-21;;-0,057;;;-0,206;-0,307;-0,075;-0,219;-0,221;-0,158;-0,011;0,008;-0,082;-0,109;0,017;-0,017;-0,157;
2023-11-22;-0,089;-0,057;;;-0,203;-0,301;-0,074;-0,215;-0,214;-0,155;-0,010;0,011;-0,078;-0,104;0,023;-0,013;-0,154;
2023-11-23;-0,089;-0,057;;;-0,203;;-0,070;-0,216;;-0,155;-0,011;;;;;-0,016;;
2023-11-24;-0,093;-0,056;;;-0,206;-0,299;-0,074;-0,217;-0,216;-0,156;-0,012;0,009;-0,079;-0,104;0,025;-0,016;-0,154;
2023-11-27;-0,094;-0,056;;;-0,211;-0,303;-0,079;-0,219;-0,216;-0,160;-0,010;0,009;-0,080;-0,106;0,023;;-0,155;
2023-11-28;-0,094;-0,056;;;-0,207;-0,305;-0,078;-0,220;-0,218;-0,156;-0,008;0,012;-0,078;-0,107;0,020;-0,015;-0,158;
2023-11-29;-0,096;;;;-0,210;-0,299;-0,085;-0,213;-0,214;-0,159;;;;-0,106;0,019;-0,014;-0,158;
2023-11-30;-0,089;-0,056;;;;;;;;;-0,008;0,012;-0,075;;;;;
2023-12-01;;-0,056;;;-0,210;-0,279;-0,086;-0,214;-0,214;-0,159;-0,005;0,015;-0,072;-0,100;0,025;-0,006;-0,154;
2023-12-04;-0,087;-0,056;;;-0,212;-0,270;-0,092;-0,215;-0,217;-0,159;-0,007;0,013;-0,073;-0,099;0,024;-0,002;-0,156;
2023-12-05;-0,088;-0,056;;;-0,218;-0,268;-0,101;-0,217;-0,217;-0,166;-0,005;0,016;-0,070;-0,100;0,022;-0,000;-0,159;
2023-12-06;-0,087;-0,055;;;-0,214;-0,259;-0,094;-0,210;-0,213;-0,160;-0,003;0,019;-0,067;-0,094;0,027;0,003;-0,149;
2023-12-07;-0,088;-0,055;;;-0,219;-0,260;-0,100;-0,213;-0,216;-0,164;-0,004;0,018;-0,067;-0,098;0,024;0,002;-0,156;
2023-12-08;-0,086;-0,055;;;-0,218;-0,261;-0,104;-0,211;-0,215;-0,164;-0,008;0,013;-0,071;-0,097;0,024;-0,000;-0,155;
2023-12-11;-0,080;;;;-0,215;-0,264;-0,100;-0,205;-0,209;-0,162;;;;-0,092;0,028;0,004;-0,154;
2023-12-12;;-0,054;;;;;;;;;-0,006;0,017;-0,068;;;;;
2023-12-13;-0,081;-0,054;;;-0,216;-0,247;-0,101;-0,198;-0,205;-0,162;-0,003;0,021;-0,067;-0,089;0,031;0,004;-0,154;
2023-12-14;-0,094;-0,054;;;-0,214;-0,241;-0,103;-0,185;-0,207;-0,157;-0,003;0,021;-0,066;-0,082;0,035;0,003;-0,152;
2023-12-15;-0,088;-0,053;;;-0,212;-0,237;-0,103;-0,185;-0,207;-0,155;0,001;0,020;-0,065;-0,084;0,030;0,007;-0,151;
2023-12-18;-0,088;-0,053;;;-0,214;-0,240;-0,108;-0,189;-0,205;-0,157;-0,003;0,018;-0,066;-0,086;0,030;0,005;-0,155;
2023-12-19;-0,091;-0,052;;;-0,215;-0,237;-0,107;-0,186;-0,203;-0,155;-0,001;0,019;-0,066;-0,083;0,033;0,003;-0,155;
2023-12-20;-0,090;-0,052;;;-0,219;-0,248;-0,113;-0,190;-0,205;-0,159;-0,001;0,018;-0,067;-0,087;0,030;-0,005;-0,156;
2023-12-21;-0,088;-0,052;;;-0,218;-0,251;-0,110;-0,191;-0,208;-0,159;-0,001;0,019;-0,067;-0,088;0,030;-0,004;-0,158;
2023-12-22;-0,092;-0,051;;;-0,225;-0,236;-0,126;-0,191;-0,210;-0,165;-0,003;0,015;-0,071;-0,088;0,028;-0,005;-0,156;
2023-12-27;-0,094;-0,051;;;-0,221;-0,227;-0,125;-0,191;-0,211;-0,162;-0,003;0,014;-0,074;-0,089;0,025;-0,004;-0,158;
2023-12-28;-0,091;;;;-0,218;-0,222;-0,117;-0,193;-0,214;-0,159;-0,005;0,011;-0,076;-0,090;0,025;-0,003;-0,156;
2023-12-29;-0,092;-0,051;;;-0,214;-0,224;-0,112;-0,191;-0,210;-0,156;-0,005;0,013;-0,073;-0,087;0,029;-0,000;-0,151;
2024-01-02;-0,083;-0,050;;;-0,216;-0,217;-0,115;-0,197;-0,220;-0,157;-0,004;0,013;-0,073;-0,089;0,031;0,002;;
2024-01-03;-0,091;;;;-0,215;-0,219;-0,108;-0,205;-0,219;-0,158;;;;-0,091;0,031;0,005;;
2024-01-04;;-0,050;;;;;;;;;-0,003;0,017;-0,073;;;;;
2024-01-05;-0,093;-0,050;;;-0,213;-0,219;-0,109;-0,206;-0,218;-0,156;-0,004;0,018;-0,072;-0,091;0,033;0,015;-0,151;
2024-01-08;-0,083;-0,050;;;-0,216;-0,217;-0,115;-0,200;-0,210;-0,156;-0,001;0,021;-0,068;-0,086;0,036;0,012;;
2024-01-09;-0,084;-0,049;;;-0,219;-0,200;-0,120;-0,202;-0,208;-0,159;-0,003;0,017;-0,074;-0,085;0,036;0,011;-0,145;
2024-01-10;-0,083;-0,049;;;-0,220;-0,203;-0,119;-0,204;-0,203;-0,161;-0,005;0,016;-0,073;-0,085;0,037;0,011;-0,139;
2024-01-11;-0,085;-0,048;;;-0,219;-0,213;-0,118;-0,204;-0,198;-0,161;-0,004;0,015;-0,072;-0,086;0,037;0,006;-0,137;
2024-01-12;-0,083;-0,048;;;-0,213;-0,206;-0,112;-0,201;-0,195;-0,154;-0,001;0,020;-0,065;-0,082;0,039;0,016;-0,133;
2024-01-15;;-0,048;;;-0,214;;-0,115;;;;-0,001;;;;;0,016;-0,127;
2024-01-16;-0,077;-0,048;;;-0,214;-0,211;-0,114;-0,200;-0,191;-0,156;0,001;0,021;-0,063;-0,081;0,040;0,019;-0,129;
2024-01-17;-0,077;-0,048;;;-0,224;-0,211;-0,128;-0,205;-0,197;-0,165;0,000;0,021;-0,064;-0,084;0,037;0,014;-0,137;
2024-01-18;-0,078;-0,047;;;-0,220;-0,211;-0,123;-0,197;-0,186;-0,161;0,000;0,020;-0,064;-0,080;0,038;0,015;-0,134;
2024-01-19;-0,076;-0,047;;;-0,213;-0,214;-0,124;-0,192;-0,178;-0,156;0,002;0,022;-0,062;-0,076;0,042;0,020;-0,132;
2024-01-22;-0,075;-0,047;;;-0,214;-0,207;-0,130;-0,183;-0,170;-0,156;;;;-0,071;0,043;;-0,127;
2024-01-23;-0,074;-0,047;;;;;;;;;0,001;0,019;-0,065;;;;;
2024-01-24;-0,073;-0,046;;;-0,207;-0,205;-0,108;-0,181;-0,166;-0,151;-0,000;0,020;-0,067;-0,070;0,043;0,019;-0,129;
2024-01-25;-0,068;;;;-0,207;-0,207;-0,101;-0,184;-0,167;-0,151;;;;-0,072;0,038;0,014;-0,131;
2024-01-26;;-0,046;;;;;;;;;-0,000;0,020;-0,064;;;;;
2024-01-29;-0,061;-0,045;;;-0,208;-0,206;-0,113;-0,190;-0,163;-0,151;0,003;0,022;-0,062;-0,069;0,045;0,018;-0,131;
2024-01-30;-0,064;-0,045;;;-0,214;-0,203;-0,125;-0,187;-0,161;-0,155;-0,001;0,020;-0,063;-0,068;0,046;0,014;-0,133;
2024-01-31;-0,069;-0,045;;;-0,217;-0,200;-0,128;-0,191;-0,171;-0,157;0,002;0,024;-0,062;-0,070;0,048;0,022;-0,130;
2024-02-01;-0,066;-0,045;;;-0,211;-0,205;-0,122;-0,190;-0,169;-0,151;0,004;0,028;-0,058;-0,071;0,045;0,025;-0,127;
2024-02-02;-0,056;;;;-0,211;-0,208;-0,130;-0,190;-0,159;-0,152;;;;-0,073;0,043;0,021;-0,129;
2024-02-05;;-0,045;;;;;;;;;-0,001;0,021;-0,061;;;;;
2024-02-06;-0,056;-0,045;;;-0,194;-0,193;-0,099;-0,182;-0,148;-0,135;0,003;0,027;-0,055;-0,061;0,057;0,036;-0,124;
2024-02-07;-0,059;-0,045;;;-0,197;-0,201;-0,104;-0,184;-0,149;-0,139;-0,001;0,022;-0,060;-0,064;0,057;0,031;-0,126;
2024-02-08;-0,055;-0,045;;;-0,199;-0,202;-0,109;-0,175;-0,144;-0,139;-0,003;0,020;-0,060;-0,061;0,053;0,027;-0,127;
2024-02-09;-0,057;-0,045;;;-0,197;-0,196;;-0,171;-0,140;-0,138;-0,004;0,019;-0,062;-0,059;0,055;0,029;-0,127;
2024-02-12;-0,058;-0,044;;;;-0,193;;-0,168;-0,138;;-0,004;0,018;-0,062;-0,059;0,052;0,025;;
2024-02-13;-0,058;;;;;-0,205;;-0,182;-0,149;;-0,007;0,014;-0,066;-0,067;0,049;0,025;-0,124;
